Num,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62,f63,f64,f65,f66,f67,f68,f69,f70,f71,f72,f73,f74,f75,f76,f77,f78,f79,f80,f81,f82,f83,f84,f85,f86,f87,f88,f89,f90,f91,f92,f93,f94,f95,f96,f97,f98,f99,f100,f101,f102,f103,f104,f105,f106,f107,f108,f109,f110,f111,f112,f113,f114,f115,f116,f117,f118,f119,f120,f121,f122,f123,f124,f125,f126,f127,f128,f129,f130,f131,f132,f133,f134,f135,f136,f137,f138,f139,f140,f141,f142,f143,f144,f145,f146,f147,f148,f149,f150,f151,f152,f153,f154,f155,f156,f157,f158,f159,f160,f161,f162,f163,f164,f165,f166,f167,f168,f169,f170,f171,f172,f173,f174,f175,f176,f177,f178,f179,f180,f181,f182,f183,f184,f185,f186,f187,f188,f189,f190,f191,f192,f193,f194,f195,f196,f197,f198,f199,f200,f201,f202,f203,f204,f205,f206,f207,f208,f209,f210,f211,f212,f213,f214,f215,f216,f217,f218,f219,f220,f221,f222,f223,f224,f225,f226,f227,f228,f229,f230,f231,f232,f233,f234,f235,f236,f237,f238,f239,f240,f241,f242,f243,f244,f245,f246,f247,f248,f249,f250,f251,f252,f253,f254,f255,f256,f257,f258,f259,f260,f261,f262,f263,f264,f265,f266,f267,f268,f269,f270,f271,f272,f273,f274,f275,f276,f277,f278,f279,f280,f281,f282,f283,f284,f285,f286,f287,f288,f289,f290,f291,f292,f293
salinity/density,0,0,0,0,0,0,0,23.81206021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.7016196,0,0,0,17.97951318,8.985324159,10.70343747,0,0,0,0,0,0,0,0,0,0,0,0,14.12718696,0,14.12718696,0,0,0,0,0,0,0,8.393878931,0,15.91098965,0,11.53628315,0,0,13.3192396,0,0,0,6.659619798,7.090953531,0,0,0,0,0,0,0,0,0,9.705259328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.83161043,0,0,0,8.985324159,0,0,0,0,0,0,0,0,9.167788856,0,0,0,0,0,0,0,0,0,5.187679322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.888074,7.91382495,0,0,0,0,6.256427962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.473125338,0,0,0,0,6.473125338,0,0,0,0,0,8.541307971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.270653986,6.079373313,6.039616787,0,0,0,6.039616787,6.039616787,4.09396393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.752496847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jason 1,0,0,0,24.00693897,0,10.75060999,0,0,0,0,0,5.068004975,0,0,0,0,6.838425161,0,0,17.59178844,0,0,0,2.496929648,0,0,0,22.31198909,10.59357532,0,0,0,0,6.564322252,0,0,0,0,8.433139198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25311478,0,0,0,6.60625489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.30628496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.93378182,5.800001805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.800001805,0,0,0,0,10.888074,0,0,0,5.789739313,0,0,0,0,0,0,0,0,0,5.437556795,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.303663216,0,0,6.079373313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.718778398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ocean waves,0,0,0,23.89449367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.90752989,0,0,15.07132866,0,0,0,0,16.6735146,0,0,13.44952985,0,0,0,0,0,0,0,0,0,0,0,0,12.43961801,0,0,12.96919831,15.25612283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.59357532,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.593839661,0,0,0,0,0,0,0,0,0,0,10.17273727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.929675741,0,0,0,0,0,0,0,0,0,0,0,0,0,3.750256225,0,0,0,0,0,0,0,0,0,0,0,0,2.651831608,6.353583644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.668243227,0,0,0,0,0,0,0,0,8.18792786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.91382495,0,0,0,0,0,0,0,0,0,5.303663216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.750256225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.718778398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.956912475,0,0,0,0,0,0,0,2.718778398,0,2.797959644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group for high resolution sea surface temperature datasets,0,21.54506967,0,0,0,0,0,0,0,14.29936796,0,0,0,0,0,0,0,0,12.68072774,0,0,0,0,0,0,0,0,0,0,13.92687103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.628061416,0,0,0,0,0,13.46145339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.455536963,0,0,0,0,9.186214157,0,0,0,0,0,0,0,0,0,9.002807877,5.187679322,7.336486455,7.628061416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.353583644,0,0,0,6.353583644,0,0,9.802694919,0,0,0,7.955494824,0,0,0,0,0,0,0,0,0,0,5.800001805,0,6.256427962,2.593839661,0,0,0,5.437556795,0,0,0,0,0,0,0,0,0,10.27049965,0,0,2.593839661,0,3.750256225,0,0,0,0,5.595919287,0,0,0,0,2.797959644,0,0,0,0,0,0,0,0,0,0,2.593839661,0,0,0,0,5.437556795,0,0,2.718778398,0,0,0,0,0,0,0,0,0,0,6.079373313,0,0,0,0,0,0,0,0,0,0,6.659619798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.595919287,0,0,0,0,0,0,0,0,0,0,4.09396393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.894869657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.019808393,0,0,0,0,0,0,0,0,0,0,0,0
modis,0,11.99578711,0,0,0,0,0,0,0,21.02620883,0,0,0,0,0,0,0,0,10.02499551,0,18.52372029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.28055025,0,0,0,0,0,0,8.144094765,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.80541079,0,0,0,10.93378182,0,0,7.50051245,0,0,0,0,0,0,0,0,0,9.561314837,0,0,8.59753219,0,0,0,0,0,0,0,0,0,5.187679322,0,0,0,10.87511359,0,0,0,0,0,0,0,0,7.689866566,0,0,0,0,0,0,2.593839661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.718778398,0,0,0,0,0,0,0,0,0,0,0,6.256427962,5.595919287,0,0,0,0,0,0,0,3.956912475,0,0,0,0,0,0,7.91382495,0,0,0,0,0,0,0,0,0,0,5.595919287,0,0,0,0,0,0,0,6.256427962,0,0,0,0,0,0,0,0,0,0,0,0,6.039616787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.789739313,2.894869657,0,0,0,0,0,0,0,0
geodetics/gravity,0,0,0,0,18.51772588,0,0,0,0,0,0,0,0,0,16.93500082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.99126865,0,0,9.705259328,11.92625983,0,0,0,12.19602334,0,7.016086954,0,14.28055025,0,0,0,0,0,0,0,8.847925275,0,0,0,0,0,0,0,0,0,0,0,0,0,7.955494824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.844933283,0,0,0,0,0,0,0,0,0,0,0,6.659619798,0,0,0,0,0,0,0,0,0,0,8.59753219,0,0,0,0,5.437556795,0,0,0,0,0,0,0,0,10.08818696,0,8.59753219,0,0,0,0,0,7.91382495,0,0,0,0,0,0,0,0,0,6.256427962,0,0,0,0,6.495634324,0,0,0,2.542687139,0,8.68460897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.402705396,0,0,0,0,0,0,0,0,7.090953531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.752496847,0,0,0,5.595919287,6.853573448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.039616787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.894869657,0,0,0,0,0,0,0,0,0,0,0,0,0,2.894869657,0,0,0,0,0,0,0,0,0,0,0,0,2.797959644,0,0,0,0,0,0,0,0,0,0
ghrsst,0,23.60144133,0,0,0,0,0,0,0,8.795894218,0,0,0,0,0,0,0,0,12.48101875,0,0,0,0,0,0,0,0,0,0,8.808126624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.085374277,0,0,0,0,0,12.79352201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.062383545,0,7.336486455,11.65205628,0,0,0,0,0,0,0,0,0,0,0,0,0,5.437556795,0,0,0,0,0,0,5.187679322,0,0,5.437556795,0,0,0,8.385827853,0,0,0,0,0,0,0,0,0,0,5.800001805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.651831608,0,0,5.187679322,7.91382495,5.929675741,0,2.593839661,0,0,6.853573448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.187679322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.595919287,0,0,0,2.718778398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.256427962,2.797959644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.270653986,0,0,0,2.797959644,0,0,0,0,0,0,0,0,0,0,0,0,0,0
avhrr pathfinder l3 daily sst version 5 and 5.1,0,0,0,0,0,0,0,0,0,0,16.53368563,0,15.59332065,11.77634157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.15708284,0,0,0,0,0,0,0,0,0,9.167788856,8.985324159,0,0,0,0,0,0,0,13.59389199,0,0,0,14.89136257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.55906599,0,0,0,7.689866566,0,0,6.079373313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.59753219,0,0,9.418124639,0,0,0,0,0,0,0,0,0,0,0,0,0,2.797959644,0,0,8.795130451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.797959644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surface winds,16.93374725,0,10.59357532,0,0,0,10.41796103,0,13.21218994,0,0,0,0,0,0,6.962515167,0,2.651831608,0,0,0,11.19183857,0,0,8.808126624,0,0,0,0,0,0,4.835496804,0,0,7.689866566,0,10.60732643,8.202441214,0,0,0,2.455536963,0,0,0,0,0,0,0,0,0,0,6.659619798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.718778398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.437556795,0,0,0,0,0,5.929675741,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.692416521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.651831608,0,0,0,5.595919287,0,0,0,5.595919287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.894869657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.437556795,0,0,0,3.019808393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.651831608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.894869657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
salinity,0,0,0,0,0,0,0,18.88321867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.00472968,0,0,0,14.60662556,12.43961801,7.366610889,0,0,0,0,0,0,0,0,0,0,0,0,8.59753219,0,8.59753219,0,0,0,0,0,0,0,5.595919287,0,5.303663216,0,6.853573448,0,0,7.689866566,0,0,0,5.437556795,0,0,0,0,0,0,0,0,0,0,12.16618642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.800001805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.336486455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.595919287,0,0,0,0,8.393878931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.473125338,0,0,0,0,5.789739313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.718778398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ccmp,24.50278704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.532697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.48114339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.718778398,0,0,0,0,0,7.50051245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.84620826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.50051245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.956912475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ocean currents,7.33252765,5.700289633,4.993859296,8.683782102,0,20.17491429,0,0,0,5.256552207,0,15.20401492,0,0,0,0,0,5.929675741,0,0,0,0,2.382986296,4.324809013,2.542687139,0,0,2.542687139,0,0,0,0,0,0,0,0,6.495634324,2.593839661,0,0,0,0,0,0,0,0,0,5.085374277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.490788944,0,0,0,2.455536963,0,5.583304428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.187679322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.718778398,0,0,0,0,0,0,0,2.593839661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.079373313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.718778398,0,0,0,0,0,0,0,0,0,0,0,0,5.187679322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sea surface height,0,0,0,9.846483377,0,0,0,0,0,0,0,0,0,0,0,0,12.08874201,0,0,0,0,0,5.328519347,12.23240712,0,0,5.085374277,2.542687139,12.731893,0,0,0,0,10.37910481,0,0,0,0,10.17074855,0,0,0,0,10.6946749,0,0,0,3.595902636,0,0,0,0,0,0,0,0,0,0,0,6.014812604,0,0,0,4.993859296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.079373313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.303663216,0,0,0,0,0,0,0,0,0,0,0,0,0,4.593107078,0,0,0,0,0,0,0,0,0,0,0,0,5.929675741,2.593839661,0,0,0,0,0,0,0,0,0,0,6.079373313,0,0,0,0,0,3.668243227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.651831608,0,0,2.718778398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.651831608,0,0,0,0,0,0,2.797959644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.844933283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09396393,0,0,0,0,0,0,2.718778398,0,3.956912475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
aqua,4.733126246,9.391278143,0,0,0,0,0,0,0,16.45561129,0,0,0,0,0,4.641676778,0,0,5.012497754,0,13.96825406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.417748402,0,0,0,0,0,0,0,0,0,12.71773762,0,0,0,0,0,0,0,0,2.496929648,0,0,0,0,0,0,0,0,0,0,0,0,2.496929648,0,0,5.085374277,0,0,0,0,0,0,0,0,6.256427962,0,0,0,0,0,0,5.303663216,0,0,0,0,0,0,0,2.718778398,0,2.651831608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.844933283,0,2.797959644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.595919287,0,0,0,0,5.595919287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.156335193,0,0,0,0,0,0,0,0,0,0,0,2.797959644,5.595919287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.595919287,0,0,0,0,0,0,0,0,2.718778398,0,0,0,0,0,5.595919287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.039616787,0,0,0,0,0,0,0,5.789739313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.894869657,0,0,0,0,0,0,0,0,0
seawinds,8.198015136,0,20.89081226,0,0,2.241657143,0,0,6.727317831,0,0,0,0,0,0,2.320838389,0,7.955494824,0,0,0,0,0,0,7.628061416,0,0,0,0,0,0,0,14.03217391,0,0,0,5.303663216,0,0,0,0,0,5.800001805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.800001805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.59753219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.797959644,0,0,0,0,0,8.847925275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.49266208,0,0,0,0,0,0,0,0,0,0,0,0,5.595919287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.789739313,3.844933283,7.396989685,0,0,0,0,0,0,0,3.844933283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
